% 1  %BooleanFeature(Phrase(Token('$'),Number_body(_range(0,99.9)))) %BooleanFeature(Proximity(Token(price),Phrase(Token('$'),Number_body(_range(0,99.9))),-3,3)) %BooleanFeature(Proximity(Phrase(Token(your,our,special,sale),Token(price)),Phrase(Token('$'),Number_body(_range(0,99.9))),-7,0)) 
@RELATION test
@ATTRIBUTE x0	NUMERIC
@ATTRIBUTE x1	NUMERIC
@ATTRIBUTE x2	NUMERIC
@ATTRIBUTE x3	NUMERIC
@ATTRIBUTE class	{0,1}
@DATA
953,0,0,0,0
1219,1,0,0,0
678,0,0,0,0
401,0,0,0,0
676,0,0,0,0
3940,0,0,0,0
675,1,0,0,0
135,1,1,0,0
405,0,0,0,0
2598,0,0,0,0
2599,0,0,0,0
2019,0,0,0,0
3688,0,0,0,0
2597,0,0,0,0
3692,0,0,0,0
3416,0,0,0,0
690,0,0,0,0
2338,0,0,0,0
2583,0,0,0,0
3913,0,0,0,0
2582,0,0,0,0
2577,0,0,0,0
2579,0,0,0,0
2578,0,0,0,0
2589,0,0,0,0
3667,0,0,0,0
3424,0,0,0,0
2584,0,0,0,0
3931,0,0,0,0
669,0,0,0,0
3929,1,0,0,0
3181,0,0,0,0
429,0,0,0,0
906,0,0,0,0
1749,0,0,0,0
188,0,0,0,0
1988,0,0,0,0
3663,0,0,0,0
2573,0,0,0,0
901,0,0,0,0
1513,0,0,0,0
2568,0,0,0,0
420,0,0,0,0
2570,0,0,0,0
3169,0,0,0,0
207,0,0,0,0
474,1,0,0,0
3881,0,0,0,0
3331,0,0,0,0
1163,1,1,0,0
3334,0,0,0,0
1978,0,0,0,0
464,1,0,0,0
3874,0,0,0,0
3353,0,0,0,0
761,0,0,0,0
1955,1,0,0,0
754,0,0,0,0
3072,0,0,0,0
215,0,0,0,0
1181,0,0,0,0
449,0,0,0,0
999,0,0,0,0
3617,1,1,1,1
508,0,0,0,0
237,0,0,0,0
3129,0,0,0,0
236,0,0,0,0
976,0,0,0,0
503,1,0,0,0
970,1,0,0,1
1203,0,0,0,0
1206,0,0,0,0
3592,0,0,0,0
3119,0,0,0,0
973,0,0,0,0
248,1,0,0,0
2630,0,0,0,0
485,1,1,0,1
2632,0,0,0,0
724,0,0,0,0
2636,0,0,0,0
1213,0,0,0,0
3109,0,0,0,0
1905,0,0,0,0
282,0,0,0,0
831,0,0,0,0
286,1,1,1,0
4076,1,0,0,0
3528,0,0,0,0
2199,0,0,0,0
21,0,0,0,0
562,0,0,0,0
23,0,0,0,0
261,0,0,0,0
1353,1,0,0,0
560,1,0,0,0
3278,0,0,0,0
3821,0,0,0,0
797,0,0,0,0
1124,0,0,0,0
520,1,0,0,0
3321,0,0,0,0
45,0,0,0,0
772,0,0,0,0
291,0,0,0,0
292,0,0,0,0
294,0,0,0,0
52,0,0,0,0
2964,0,0,0,0
3308,0,0,0,0
3765,0,0,0,0
3221,0,0,0,0
1574,0,0,0,0
3224,1,1,1,0
3040,0,0,0,0
893,0,0,0,0
3771,0,0,0,0
344,0,0,0,0
3474,0,0,0,0
4212,0,0,0,0
87,0,0,0,0
4023,0,0,0,0
2254,0,0,0,0
1832,0,0,0,0
3208,1,0,0,0
3211,0,0,0,0
1066,0,0,0,0
3251,0,0,0,0
3735,0,0,0,0
101,1,1,1,0
3494,1,0,0,0
852,0,0,0,0
585,0,0,0,0
108,0,0,0,0
4174,0,0,0,0
1057,0,0,0,0
1538,0,0,0,0
4180,0,0,0,0
2559,0,0,0,0
837,0,0,0,0
600,0,0,0,0
3024,0,0,0,0
602,0,0,0,0
1794,0,0,0,0
4185,0,0,0,0
606,0,0,0,0
2032,0,0,0,0
3165,0,0,0,0
2065,1,0,0,0
137,1,1,1,0
411,0,0,0,0
139,0,0,0,0
409,0,0,0,0
953,0,0,0,0
1219,1,0,0,0
678,0,0,0,0
401,0,0,0,0
676,1,1,1,0
3940,0,0,0,0
675,0,0,0,0
135,0,0,0,0
405,0,0,0,0
2598,0,0,0,0
2599,0,0,0,0
2019,0,0,0,0
3688,0,0,0,0
2597,0,0,0,0
3692,0,0,0,0
3416,0,0,0,0
690,0,0,0,0
2338,0,0,0,0
2583,0,0,0,0
